variant,runs,reward_eval_mean_mean,reward_eval_mean_std,viol_rate_eval_mean,viol_rate_eval_std,sla_rate_eval_mean,sla_rate_eval_std,res_eval_mean_mean,res_eval_mean_std
full,3,23.620160115075606,0.7791480564839685,0.02340494791666667,0.024467692831280478,0.9765950520833334,0.024467692831280474,193.8767252604167,0.6965596639785474
no_pred,3,23.534909062103058,0.43501961770997455,0.01927083333333333,0.009694511036855164,0.9807291666666665,0.009694511036855194,195.37893880208333,1.4852474849279973
no_cross,3,20.898779100738466,1.2963946986107149,0.07942708333333333,0.02469632834576702,0.9205729166666666,0.024696328345767054,190.75013020833333,4.446048415325342
raw_reward,3,-6.556738281249999,33.78723784615629,0.08805338541666667,0.03152571377787733,0.9119466145833334,0.03152571377787729,188.84222005208335,4.832780232187989
